ID,Type,SKU,Name,Published,Is featured?,Short description,Description,Tax status,In stock?,Stock,Categories,Tags,Sale price,Regular price,Images,Collection,Badge,Fabric Composition,Care Instructions
1,simple,BR-TH-001,Thorn Hoodie,1,1,"Gothic luxury in fleece form","Embrace the darkness with our signature Thorn Hoodie. Crafted from premium heavyweight fleece with crimson rose embroidery across the chest. Features an oversized fit, distressed details, and ribbed cuffs. This is comfort that doesn't compromise on edge.",taxable,1,50,"Tops,Hoodies",black-rose gothic hoodie streetwear,,95,,"black-rose,signature",NEW,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
2,simple,BR-SH-001,Black Rose Sherpa,1,1,"Crimson embroidery on black fleece","Luxury meets warmth in this statement sherpa jacket. Black fleece exterior with crimson rose embroidery, lined with ultra-soft sherpa. Oversized fit with snap closures and deep pockets. A piece that turns heads while keeping you cozy.",taxable,1,30,Outerwear,black-rose sherpa jacket luxury,,185,,"black-rose",LIMITED,"100% Polyester fleece with sherpa lining","Dry clean only"
3,simple,BR-DR-001,Gothic Dress,1,0,"Dark elegance, modern silhouette","Floor-length gothic elegance reimagined for the streets. Features a fitted bodice, flowing skirt, and signature rose detailing. Crafted from premium stretch fabric that moves with you. Dress it up or down—this piece adapts to your energy.",taxable,1,40,Dresses,black-rose dress gothic formal,,145,,"black-rose",,"95% Polyester, 5% Spandex","Hand wash cold, hang dry"
4,simple,BR-TS-001,Distressed Tee,1,0,"Worn-in rebellion","Vintage-washed tee with our iconic black rose graphic. Pre-distressed for that lived-in feel from day one. Soft, breathable cotton that gets better with every wash. A staple for layering or solo statements.",taxable,1,100,Tops,black-rose tee vintage basic,,55,,"black-rose",,"100% Cotton","Machine wash cold, tumble dry low"
5,simple,BR-BN-001,Crimson Beanie,1,0,"Rose embroidered warmth","Keep warm in style with this ribbed knit beanie featuring embroidered crimson rose. Premium acrylic blend that's soft, stretchy, and built to last through winters. The perfect finishing touch to any outfit.",taxable,1,75,Accessories,black-rose beanie winter accessory,,35,,"black-rose",,"100% Acrylic","Hand wash cold, lay flat to dry"
6,simple,BR-JG-001,Shadow Joggers,1,0,"Premium black comfort","Elevated loungewear meets street style. Tapered fit joggers in premium black cotton blend with subtle rose embroidery at the thigh. Elastic waistband with drawstring, deep pockets, and ribbed cuffs. Comfort you can wear anywhere.",taxable,1,60,Bottoms,black-rose joggers streetwear comfort,,75,,"black-rose",,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
7,simple,BR-JK-001,Leather Jacket,1,1,"Edge meets craftsmanship","Premium vegan leather jacket with crimson rose embroidery on the back. Classic moto styling with modern cuts. Features quilted panels, asymmetric zip, and gunmetal hardware. A forever piece that only gets better with age.",taxable,1,25,Outerwear,black-rose leather jacket luxury moto,,325,,"black-rose",EXCLUSIVE,"100% Vegan Leather","Spot clean only, professional leather care recommended"
8,simple,BR-CP-001,Rose Cap,1,0,"Embroidered statement piece","Six-panel unstructured cap with embroidered rose detail. Adjustable strap back for perfect fit. Premium cotton twill that breaks in beautifully. Your new everyday essential.",taxable,1,80,Accessories,black-rose cap hat accessory,,40,,"black-rose",,"100% Cotton Twill","Spot clean only"
9,simple,BR-BT-001,Combat Boots,1,0,"Gothic street armor","Lace-up combat boots with platform sole and signature rose hardware. Premium vegan leather upper with cushioned insole. These aren't just boots—they're a statement. Built for comfort, designed for impact.",taxable,1,40,Footwear,black-rose boots shoes gothic,,185,,"black-rose",,"Vegan leather upper, rubber sole","Wipe clean with damp cloth"
10,simple,BR-JN-001,Ripped Jeans,1,0,"Distressed perfection","High-waisted black denim with strategic rips and rose embroidery patches. Stretch fabric for comfort, rigid structure for shape. These jeans have lived a thousand lives before you even put them on.",taxable,1,55,Bottoms,black-rose jeans denim streetwear,,110,,"black-rose",,"98% Cotton, 2% Spandex","Machine wash cold inside out, tumble dry low"
11,simple,LH-RH-001,Rose Hoodie,1,1,"Soft pink, softer heart","Oversized hoodie in dusty rose with vintage wash. Features our Love Hurts heart graphic with thorns. Premium heavyweight fleece that feels like a warm hug. Pair with matching joggers or your favorite jeans.",taxable,1,65,"Tops,Hoodies",love-hurts rose hoodie pink streetwear,,95,,"love-hurts",NEW,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
12,simple,LH-DR-001,Heartbreak Dress,1,1,"Romantic rebellion","Midi dress in dusty rose with corset-style lacing and distressed hem. Soft jersey knit that drapes beautifully. Wear it to brunch, a concert, or wherever your heart takes you. Vulnerability never looked so good.",taxable,1,45,Dresses,love-hurts dress pink romantic,,135,,"love-hurts",LIMITED,"95% Modal, 5% Spandex","Hand wash cold, hang dry"
13,simple,LH-CR-001,Emotional Crewneck,1,0,"Wear your feelings","Vintage-washed crewneck with Love Hurts typography. Soft, lived-in feel from the first wear. Slightly cropped fit that pairs perfectly with high-waisted bottoms. Because feelings are meant to be worn, not hidden.",taxable,1,70,Tops,love-hurts crewneck sweatshirt pink,,85,,"love-hurts",,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
14,simple,LH-TS-001,Love Hurts Tee,1,0,"Vintage wash vulnerability","Soft vintage-washed tee with our signature Love Hurts graphic. Relaxed fit, slightly cropped. The kind of tee that becomes part of your identity. Layer it, knot it, or wear it classic.",taxable,1,90,Tops,love-hurts tee pink vintage,,55,,"love-hurts",,"100% Cotton","Machine wash cold, tumble dry low"
15,simple,LH-BN-001,Pink Beanie,1,0,"Rose gold warmth","Ribbed knit beanie in dusty rose with embroidered heart detail. Soft acrylic blend that's warm without being bulky. The finishing touch your winter wardrobe needs.",taxable,1,65,Accessories,love-hurts beanie pink winter,,35,,"love-hurts",,"100% Acrylic","Hand wash cold, lay flat to dry"
16,simple,LH-JG-001,Distressed Joggers,1,0,"Comfortable emotion","Tapered joggers in dusty rose with intentional distressing. Premium cotton blend with elastic waist and cuffs. Heart embroidery at the thigh. Loungewear that understands you.",taxable,1,55,Bottoms,love-hurts joggers pink comfort,,75,,"love-hurts",,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
17,simple,LH-JK-001,Castle Jacket,1,0,"Romantic armor","Cropped denim jacket in light wash with Love Hurts embroidery on back. Classic fit with modern details. Distressed edges and vintage hardware. Your new layering essential.",taxable,1,35,Outerwear,love-hurts jacket denim pink,,165,,"love-hurts",,"100% Cotton Denim","Machine wash cold inside out, tumble dry low"
18,simple,LH-CP-001,Heart Cap,1,0,"Embroidered sentiment","Dusty rose six-panel cap with embroidered heart. Adjustable strap, unstructured fit. Premium cotton that softens with wear. Simple, sentimental, essential.",taxable,1,70,Accessories,love-hurts cap hat pink,,40,,"love-hurts",,"100% Cotton Twill","Spot clean only"
19,simple,LH-BT-001,Platform Boots,1,0,"Elevated emotion","Lace-up platform boots in dusty rose with chunky sole. Vegan leather upper, cushioned footbed. Comfort meets height meets style. Walk taller, feel bolder.",taxable,1,30,Footwear,love-hurts boots shoes pink platform,,155,,"love-hurts",,"Vegan leather upper, rubber sole","Wipe clean with damp cloth"
20,simple,LH-JN-001,Vintage Jeans,1,0,"Worn-in romance","High-waisted jeans in light wash with heart patches. Relaxed fit with just the right amount of stretch. Soft, broken-in feel from day one. Denim that moves with your emotions.",taxable,1,50,Bottoms,love-hurts jeans denim pink vintage,,110,,"love-hurts",,"98% Cotton, 2% Spandex","Machine wash cold inside out, tumble dry low"
21,simple,SG-BL-001,Foundation Blazer,1,1,"Architectural tailoring","Oversized blazer in black with gold button details. Sharp shoulders, cinched waist, impeccable drape. This is the piece that transforms your entire wardrobe. From boardroom to bar, you're covered.",taxable,1,40,Outerwear,signature blazer luxury tailored,,425,,"signature",EXCLUSIVE,"Wool blend with gold hardware","Dry clean only"
22,simple,SG-TR-001,Icon Trench,1,1,"Timeless luxury","Classic trench coat reimagined. Water-resistant fabric with gold hardware and signature lining. Double-breasted, belted waist, storm flap. Investment dressing at its finest.",taxable,1,25,Outerwear,signature trench luxury coat,,595,,"signature",LIMITED,"100% Water-resistant Polyester with premium lining","Dry clean only"
23,simple,SG-DR-001,Silhouette Dress,1,1,"Minimal perfection","Midi dress in black with gold zipper detail. Clean lines, perfect drape, effortless elegance. From office to evening with a simple shoe swap. This is the dress you reach for when you need to feel unstoppable.",taxable,1,35,Dresses,signature dress luxury minimal,,350,,"signature",EXCLUSIVE,"95% Viscose, 5% Spandex with gold hardware","Dry clean recommended, or hand wash cold"
24,simple,SG-TS-001,Gold Label Tee,1,0,"Premium basics elevated","Heavyweight cotton tee with subtle gold label at chest. Perfect fit, premium hand feel, made to last. The foundation of every great outfit. Available in black, white, and grey.",taxable,1,120,Tops,signature tee luxury basic,,75,,"signature",,"100% Pima Cotton","Machine wash cold, tumble dry low"
25,simple,SG-SH-001,Signature Shorts,1,0,"Summer luxury","Tailored shorts in black with gold button. Clean lines, perfect length, elevated comfort. These aren't gym shorts—these are statement shorts. Pair with the Foundation Blazer for power moves.",taxable,1,60,Bottoms,signature shorts luxury tailored,,125,,"signature",,"Wool blend","Dry clean only"
26,simple,SG-HD-001,Premium Hoodie,1,0,"Gold-trimmed comfort","Black hoodie with gold zipper and subtle signature embroidery. Premium heavyweight fleece, slightly oversized fit. Luxury loungewear that travels from home to street seamlessly.",taxable,1,55,"Tops,Hoodies",signature hoodie luxury comfort,,145,,"signature",,"80% Cotton, 20% Polyester with gold hardware","Machine wash cold, tumble dry low"
27,simple,SG-JG-001,Luxury Joggers,1,0,"Elevated loungewear","Tapered joggers in black with gold drawstring details. Premium cotton blend, perfect drape. These joggers understand the assignment: look expensive, feel incredible.",taxable,1,50,Bottoms,signature joggers luxury comfort,,165,,"signature",,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
28,simple,SG-SN-001,Designer Sneakers,1,0,"Everyday opulence","Minimalist sneakers in black and white with gold accents. Premium leather upper, cushioned sole, signature detailing. The sneakers that work with everything in your closet.",taxable,1,45,Footwear,signature sneakers shoes luxury,,285,,"signature",,"Leather upper, rubber sole with gold details","Wipe clean with damp cloth"
29,simple,SG-CP-001,Gold Cap,1,0,"Signature detailing","Black six-panel cap with embroidered gold logo. Structured fit, premium fabric, adjustable closure. Simple, clean, unmistakably SkyyRose.",taxable,1,75,Accessories,signature cap hat luxury,,50,,"signature",,"100% Cotton Twill","Spot clean only"
30,simple,SG-PN-001,Tailored Pants,1,0,"Perfect fit, always","High-waisted tailored pants in black with subtle gold button. Straight leg, cropped ankle, impeccable construction. These pants mean business (but they're fun at parties too).",taxable,1,45,Bottoms,signature pants luxury tailored,,225,,"signature",,"Wool blend","Dry clean only"
