sku,name,price,collection,description,badge,image,front_model_image,back_image,back_model_image,sizes,color,edition_size,published,is_preorder,branding_spec,render_output_slug,render_source_override,render_back_source_override,render_is_tech_flat,render_is_accessory,garment_type_lock,dossier_slug,engine_override
br-001,BLACK Rose Crewneck,35,black-rose,"Gothic luxury blooms in twilight. Embroidered with defiant elegance, a dark romance woven in every thread.",,assets/images/products/br-001-crewneck.png,assets/images/products/black-rose-crewneck-front-model.webp,,assets/images/products/black-rose-crewneck-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,"Embossed on front chest, approximately 10 inches wide.",black-rose-crewneck,br-001-crewneck.png,,0,0,crewneck,black-rose-crewneck,gemini-pro
br-002,BLACK Rose Joggers,50,black-rose,Twilight comfort meets gothic romance. Embroidered black roses bloom on soft fabric.,,assets/images/products/br-002-joggers.png,assets/images/products/black-rose-joggers-front-model.webp,assets/images/products/black-rose-joggers-back-model.webp,assets/images/products/black-rose-joggers-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Silicone patch logo on left thigh area.,black-rose-joggers,br-002-joggers.png,,0,0,joggers,black-rose-joggers,
br-003,BLACK is Beautiful Jersey Series: 0. Baseball Classic (Black),100,black-rose,"The foundation of the series. A bold statement in luxury athletic wear — Black is beautiful. Available in Black, Oakland (gold lettering accent on the A), Giants (black/orange), and White colorways.",Pre-Order,assets/images/products/br-003-baseball-classic.jpeg,assets/images/products/black-is-beautiful-jersey-front-model.webp,assets/images/products/black-is-beautiful-jersey-back-model.webp,assets/images/products/black-is-beautiful-jersey-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,1,"FRONT: 'BLACK IS BEAUTIFUL' arched text, custom Baseball Patch. BACK: embroidered rose logo centered. Colorways: Black (solid), Oakland (the 'A' of BLACK is black lettering, rest is gold), Giants (black/orange), White.",black-is-beautiful-jersey,br-003-baseball-classic.jpeg,,0,0,jersey,black-is-beautiful-jersey-series-0-baseball-classic,
br-004,BLACK Rose Hoodie,40,black-rose,Gothic luxury in twilight shadows. Intricate embroidery captures the bloom of darkness.,,assets/images/products/br-004-black-rose-hoodie.jpeg,assets/images/products/black-rose-hoodie-front-model.webp,assets/images/products/black-rose-hoodie-back-model.webp,assets/images/products/black-rose-hoodie-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Embroidered rose logo on chest.,black-rose-hoodie,br-004-black-rose-hoodie.jpeg,,0,0,hoodie,black-rose-hoodie,
br-005,BLACK Rose Hoodie — Signature Edition,65,black-rose,The definitive Black Rose hoodie. Signature edition with premium detailing and numbered tag.,,assets/images/products/br-005-signature-hoodie.jpeg,assets/images/products/black-rose-hoodie-signature-front-model.webp,assets/images/products/black-rose-hoodie-signature-edition-back-model.webp,assets/images/products/black-rose-hoodie-signature-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Silicone cut-out logo on right chest. Embroidered logo on the side of the body of the hoodie (not on the arm).,black-rose-hoodie-signature,br-005-signature-hoodie.jpeg,,0,0,hoodie,black-rose-hoodie-signature-edition,
br-006,BLACK Rose Sherpa Jacket,95,black-rose,"Lustrous black satin with plush Sherpa lining, crowned by an exquisite embroidered rose. Satin bomber silhouette, hooded.",Pre-Order,assets/images/products/br-006-sherpa-jacket.jpeg,assets/images/products/black-rose-sherpa-jacket-front-model.webp,assets/images/products/black-rose-sherpa-jacket-back-model.webp,assets/images/products/black-rose-sherpa-jacket-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,1,Embroidered rose logo on left chest. Big embroidered rose logo on back. Garment is a satin bomber jacket lined with black sherpa and hooded.,black-rose-sherpa-jacket,br-006-sherpa-jacket.jpeg,,0,0,jacket,black-rose-sherpa-jacket,
br-007,BLACK Rose x Love Hurts Basketball Shorts,65,black-rose,Two worlds collide. A cross-collection collaboration merging Black Rose darkness with Love Hurts fire.,,assets/images/products/br-007.jpg,assets/images/products/black-rose-love-hurts-basketball-shorts-front-model.webp,assets/images/products/br-007-real-back.jpg,assets/images/products/black-rose-love-hurts-basketball-shorts-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Tackle twill cut-out letters stitched on the front spelling 'Oakland'. Sublimated rose logo throughout the shorts. Big sublimated 'Love Hurts' logo on the left side. Additional 'Love Hurts' and rose logos stitched on the mesh sides of the shorts.,black-rose-love-hurts-bb-shorts,br-007.jpg,br-007-real-back.jpg,0,0,shorts,black-rose-x-love-hurts-basketball-shorts,
br-008,BLACK is Beautiful Jersey Series: 1. SF Inspired (Football),115,black-rose,"Red #80 football jersey. SF 49ers inspired, alternating rose fill on numbers. Exclusive edition — 80 pieces.",Pre-Order,assets/images/products/br-008-sf-inspired.jpg,assets/images/products/jersey-sf-inspired-football-front-model.webp,assets/images/products/black-is-beautiful-football-jersey-red-back-model.webp,assets/images/products/jersey-sf-inspired-football-back-model.webp,S|M|L|XL|2XL|3XL,Red,80,1,1,"Jersey-style stitched numbers (80) on front and back. FRONT: the '8' contains the rose logo, the '0' is plain white. Custom Football Patch in bottom-left corner. BACK: reversed — the '8' is plain white, the '0' contains the rose.",jersey-sf-inspired-football,br-008-sf-inspired.jpg,,0,0,jersey,black-is-beautiful-jersey-series-1-sf-inspired-football,
br-009,BLACK is Beautiful Jersey Series: 2. Last Oakland (Football),115,black-rose,"White #32 football jersey. White numbers with black border, alternating rose fill. The Last Oakland edition — 80 pieces.",Pre-Order,assets/images/products/br-009-last-oakland-football.jpg,assets/images/products/jersey-last-oakland-football-front-model.webp,assets/images/products/black-is-beautiful-football-jersey-white-back-model.webp,assets/images/products/jersey-last-oakland-football-back-model.webp,S|M|L|XL|2XL|3XL,White,80,1,1,"Jersey-style stitched numbers (32) on front and back. FRONT: the '3' contains the rose logo, the '2' is plain white. Custom Football Patch in bottom-left corner. BACK: reversed — the '3' is plain white, the '2' contains the rose.",jersey-last-oakland-football,br-009-last-oakland-football.jpg,,0,0,jersey,black-is-beautiful-jersey-series-2-last-oakland-football,
br-010,BLACK is Beautiful Jersey Series: 3. The Bay (Basketball),100,black-rose,"Basketball tank with ""THE BAY"" gold text. Rose circle graphic, grey/silver rose fade. Bay Area edition — 80 pieces.",Pre-Order,assets/images/products/br-010-the-bay-basketball.jpeg,assets/images/products/jersey-the-bay-basketball-front-model.webp,assets/images/products/black-is-beautiful-basketball-jersey-back-model.webp,assets/images/products/jersey-the-bay-basketball-back-model.webp,S|M|L|XL|2XL|3XL,White/Gold,80,1,1,Use the existing successful render as reference — vision pipeline produced a good first render of this SKU. Preserve the established composition.,jersey-the-bay-basketball,br-010-the-bay-basketball.jpeg,,1,0,jersey,black-is-beautiful-jersey-series-3-the-bay-basketball,
br-011,BLACK is Beautiful Jersey Series: 4. The Rose (Hockey),115,black-rose,"Hooded hockey jersey in black and teal. San Jose Sharks inspired, rose crest on front. Exclusive edition — 80 pieces.",Pre-Order,assets/images/products/br-011-the-rose-hockey.png,assets/images/products/jersey-the-rose-hockey-front-model.webp,assets/images/products/black-is-beautiful-hockey-jersey-back-model.webp,assets/images/products/jersey-the-rose-hockey-back-model.webp,S|M|L|XL|2XL|3XL,Black/Teal,80,1,1,Use the existing successful render as reference — vision pipeline produced a good first render of this SKU. Preserve the established composition.,jersey-the-rose-hockey,br-011-the-rose-hockey.png,,0,0,hoodie,black-is-beautiful-jersey-series-4-the-rose-hockey,gemini-pro
br-012,BLACK is Beautiful Jersey Series: 5. Baseball Classic (Last Oakland),100,black-rose,"Green button-front baseball jersey with ""BLACK IS BEAUTIFUL"" arched in gold. Rose crest on back. Limited to 80 pieces.",Pre-Order,assets/images/products/br-012-last-oakland-baseball-front.jpeg,assets/images/products/jersey-last-oakland-baseball-front-model.webp,assets/images/products/br-012-last-oakland-baseball-back.jpeg,assets/images/products/jersey-last-oakland-baseball-back-model.webp,S|M|L|XL|2XL|3XL,Green/Gold,80,1,1,"Green button-front baseball jersey. FRONT: 'BLACK IS BEAUTIFUL' arched in gold across chest with white/yellow piping, gold-accented sleeves and placket, 'Black Rose Collection' patch above lower pocket. BACK: large embroidered black rose rising from gold clouds, monogram 'SR' at upper neck in gold.",jersey-last-oakland-baseball,br-012-last-oakland-baseball-front.jpeg,br-012-last-oakland-baseball-back.jpeg,0,0,jersey,black-is-beautiful-jersey-series-5-last-oakland-baseball,
lh-002,Love Hurts Joggers (Black),95,love-hurts,"Oakland grit meets luxury. Solid black body with white contrast side-panels running vertically from waist to ankle. White flat drawstring. The Love Hurts heart-rose-composite embroidered on the left thigh — the heart-and-thorns lockup with roses emerging from the top, rendered in red, green, and crimson on the black fabric. Mid-weight cotton-fleece, athletic-fit through the leg, ribbed ankle cuffs. Mirror white colorway available as lh-006.",,assets/images/products/lh-002-joggers.jpeg,assets/images/products/love-hurts-joggers-front-model.webp,assets/images/products/love-hurts-joggers-back-model.webp,assets/images/products/love-hurts-joggers-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Heart-rose-composite (Love Hurts heart-and-thorns lockup) embroidered on the left thigh. White contrast side-panel running vertically on both side seams. White drawstring.,love-hurts-joggers,lh-002-joggers.jpeg,,0,0,joggers,love-hurts-joggers,
lh-003,Love Hurts Basketball Shorts,75,love-hurts,Oakland-inspired luxury streetwear. Defiant rose design on breathable mesh.,,assets/images/products/lh-003-shorts.jpeg,assets/images/products/love-hurts-basketball-shorts-front-model.webp,assets/images/products/lh-003-real-back.jpg,assets/images/products/love-hurts-basketball-shorts-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Sublimated rose logo throughout the shorts. Big sublimated 'Love Hurts' logo on the left side. Additional 'Love Hurts' and rose logos stitched on the mesh sides of the shorts.,love-hurts-basketball-shorts,lh-003-shorts.jpeg,,0,0,shorts,love-hurts-basketball-shorts,
lh-004,Love Hurts Bomber Jacket,265,love-hurts,Oakland street couture. Satin bomber with bold fire-red script and a hidden rose garden in the hood.,,assets/images/products/lh-004-bomber.png,assets/images/products/love-hurts-bomber-front-model.webp,assets/images/products/lh-004-bomber-back.png,assets/images/products/love-hurts-bomber-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,'Love Hurts' logo lettering across the front. Inside of the hood features a sublimated rose logo. BACK: large 'Heart and Rose' Love Hurts logo centered.,love-hurts-bomber,lh-004-bomber.png,lh-004-bomber-back.png,0,0,bomber jacket,love-hurts-bomber-jacket,
lh-005,The Fannie,45,love-hurts,Oakland luxury meets everyday utility. The essential Love Hurts fanny pack with premium embroidery.,Pre-Order,assets/images/products/lh-005-fannie.jpeg,assets/images/products/the-fannie-front-model.webp,,assets/images/products/the-fannie-back-model.webp,One Size,Black,250,1,1,High-end leather fanny pack construction. The heart-and-rose logo positioned where the dot of the 'I' in 'FANNIE' would go.,the-fannie,lh-005-fannie.jpeg,,0,1,,the-fannie,
lh-006,Love Hurts Joggers (White),95,love-hurts,"The mirror of lh-002 in white. Solid white body with black contrast side-panels running vertically from waist to ankle. White flat drawstring. The Love Hurts heart-rose-composite embroidered on the left thigh — the heart-and-thorns lockup with roses emerging from the top, rendered in red, green, and crimson on the white fabric. Mid-weight cotton-fleece, athletic-fit through the leg, ribbed ankle cuffs. Mirror black colorway available as lh-002.",,assets/images/products/lh-006-joggers-white.jpeg,assets/images/products/love-hurts-joggers-white-front-model.webp,assets/images/products/love-hurts-joggers-white-back-model.webp,assets/images/products/love-hurts-joggers-white-back-model.webp,S|M|L|XL|2XL|3XL,White,250,1,0,Heart-rose-composite (Love Hurts heart-and-thorns lockup) embroidered on the left thigh. Black contrast side-panel running vertically on both side seams. White drawstring.,love-hurts-joggers-white,lh-006-joggers-white.jpeg,,0,0,joggers,love-hurts-joggers-white,
sg-001,The Bridge Series 'The Bay Bridge' Shorts,195,signature,Embody West Coast luxury with this exclusive ensemble. Iconic rose mark over a vibrant Bay Area skyline.,Pre-Order,assets/images/products/sg-001-bay-bridge-shorts.jpeg,assets/images/products/bridge-bay-bridge-shorts-front-model.webp,assets/images/products/the-bay-set-back-model.webp,assets/images/products/bridge-bay-bridge-shorts-back-model.webp,S|M|L|XL|2XL|3XL,Blue,250,1,1,Sublimated Bay Bridge image covering the entire shorts. Embroidered rose on the bottom-left.,bridge-bay-bridge-shorts,sg-001-bay-bridge-shorts.jpeg,,0,0,shorts,the-bridge-series-the-bay-bridge-shorts,
sg-002,The Bridge Series 'Stay Golden' Shirt,65,signature,Embrace West Coast prestige. Luxurious statement of Bay Area style featuring signature rose.,Pre-Order,assets/images/products/sg-002-stay-golden-shirt.jpeg,assets/images/products/stay-golden-tee-front-model.webp,,assets/images/products/stay-golden-tee-back-model.webp,XS|S|M|L|XL|2XL,Gold,250,1,1,Embroidered rose with the Golden Gate Bridge imagery from the matching shorts stitched inside the rose.,bridge-stay-golden-shirt,sg-002-stay-golden-shirt.jpeg,,0,0,shirt,the-bridge-series-stay-golden-shirt,
sg-003,The Bridge Series 'Stay Golden' Shorts,65,signature,From the Bridge Series. Athletic shorts in Stay Golden colorway celebrating Bay Area luxury.,Pre-Order,assets/images/products/sg-003-stay-golden-shorts.jpeg,assets/images/products/bridge-stay-golden-shorts-front-model.webp,,assets/images/products/bridge-stay-golden-shorts-back-model.webp,S|M|L|XL|2XL|3XL,Gold,250,1,1,Sublimated Golden Gate Bridge image covering the entire shorts. Purple embroidered rose on the bottom-left.,bridge-stay-golden-shorts,sg-003-stay-golden-shorts.jpeg,,0,0,shorts,the-bridge-series-stay-golden-shorts,
sg-005,The Bridge Series 'The Bay Bridge' Shirt,25,signature,From the Bridge Series. White tee with blue rose and Bay Bridge emblem celebrating the iconic crossing.,Pre-Order,assets/images/products/sg-005-bay-bridge-shirt.jpeg,assets/images/products/bridge-bay-bridge-shirt-front-model.webp,,assets/images/products/bridge-bay-bridge-shirt-back-model.webp,S|M|L|XL|2XL,Navy,250,1,1,Embroidered rose with the Bay Bridge imagery from the matching shorts stitched inside the rose.,bridge-bay-bridge-shirt,sg-005-bay-bridge-shirt.jpeg,,0,0,shirt,the-bridge-series-the-bay-bridge-shirt,
sg-006,Mint & Lavender Hoodie,45,signature,Sweet pastel vibes meet streetwear luxury. Mint and lavender colorblock with signature rose detail.,,assets/images/products/sg-006-mint-lavender-hoodie.png,assets/images/products/mint-lavender-hoodie-front-model.webp,assets/images/products/mint-lavender-hoodie-back-model.webp,assets/images/products/mint-lavender-hoodie-back-model.webp,S|M|L|XL|2XL|3XL,Mint/Lavender,250,1,0,Lavender rose logo centered on the front.,mint-lavender-hoodie,sg-006-mint-lavender-hoodie.png,,0,0,hoodie,mint-lavender-hoodie,
sg-007,The Signature Beanie,25,signature,"Classic fitted beanie with embroidered signature rose. West Coast luxury meets everyday warmth. Rose-logo color variants: red, grey, black, purple.",,assets/images/products/sg-007-signature-beanie.png,assets/images/products/signature-beanie-front-model.webp,,assets/images/products/signature-beanie-back-model.webp,One Size,Black,250,1,0,"Small silicone patch logo positioned slightly off-center to the left. Logo rose color variants: red, grey, black, purple.",signature-beanie,sg-007-signature-beanie.png,,0,1,,the-signature-beanie,
sg-009,The Sherpa Jacket,80,signature,Plush sherpa warmth in the SkyyRose signature colorway. Luxury outerwear for the West Coast. Body lined with white sherpa.,,assets/images/products/sg-009-sherpa-jacket.jpeg,assets/images/products/signature-sherpa-jacket-front-model.webp,assets/images/products/the-sherpa-jacket-back-model.webp,assets/images/products/signature-sherpa-jacket-back-model.webp,S|M|L|XL|2XL|3XL,Cream,250,1,0,Red rose logo on the front. Body lined with white sherpa.,signature-sherpa-jacket,sg-009-sherpa-jacket.jpeg,,0,0,jacket,the-sherpa-jacket,
sg-011,Original Label Tee (White),30,signature,The original SkyyRose label tee in clean white. Minimal design with signature branding.,,assets/images/products/sg-011-original-label-tee-white.jpeg,assets/images/products/original-label-tee-white-front-model.webp,assets/images/products/original-label-tee-white-back-model.webp,assets/images/products/original-label-tee-white-back-model.webp,S|M|L|XL|2XL|3XL,White,250,1,0,Original SkyyRose label tee — minimal design with signature branding. Detailed placement spec TBD.,original-label-tee-white,sg-011-original-label-tee-white.jpeg,,0,0,shirt,original-label-tee-white,
sg-012,Original Label Tee (Orchid),30,signature,The original SkyyRose label tee in rich orchid. Minimal design with signature branding.,,assets/images/products/sg-012-original-label-tee-orchid.jpeg,assets/images/products/original-label-tee-orchid-front-model.webp,assets/images/products/original-label-tee-orchid-back-model.webp,assets/images/products/original-label-tee-orchid-back-model.webp,S|M|L|XL|2XL|3XL,Orchid,250,1,0,Original SkyyRose label tee — minimal design with signature branding. Detailed placement spec TBD.,original-label-tee-orchid,sg-012-original-label-tee-orchid.jpeg,,0,0,shirt,original-label-tee-orchid,
sg-013,Mint & Lavender Crewneck,40,signature,Pastel luxury in crewneck form. Mint and lavender colorblock with signature rose embroidery.,,assets/images/products/sg-013-mint-lavender-crewneck.jpeg,assets/images/products/mint-lavender-crewneck-front-model.webp,,assets/images/products/mint-lavender-crewneck-back-model.webp,S|M|L|XL|2XL|3XL,Mint/Lavender,250,1,0,Lavender rose embroidered logo centered on the front. Small embroidered logo at the back of the neck.,mint-lavender-crewneck,sg-013-mint-lavender-crewneck.jpeg,,0,0,crewneck,mint-lavender-crewneck,
sg-014,Mint & Lavender Sweatpants,45,signature,Pastel luxury meets streetwear comfort. Mint and lavender sweatpants with signature rose detail.,,assets/images/products/sg-014-mint-lavender-sweatpants.jpeg,assets/images/products/mint-lavender-sweatpants-front-model.webp,,assets/images/products/mint-lavender-sweatpants-back-model.webp,S|M|L|XL|2XL|3XL,Mint/Lavender,250,1,0,Embroidered rose logo on the left thigh.,mint-lavender-sweatpants,sg-014-mint-lavender-sweatpants.jpeg,,0,0,sweatpants,mint-lavender-sweatpants,
sg-015,The Windbreaker Set,85,signature,Signature luxury meets West Coast weather. A premium windbreaker set built for those who move through fog.,Pre-Order,assets/images/products/sg-015-windbreaker-set.jpg,assets/images/products/signature-windbreaker-set-front-model.webp,,assets/images/products/signature-windbreaker-set-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,1,Premium windbreaker set (jacket + matching bottom). Branding detail TBD — provide a logo-details entry when you have the final spec.,signature-windbreaker-set,sg-015-windbreaker-set.jpg,,0,0,set,the-windbreaker-set,
kids-001,Kids Colorblock Hoodie Set — Red/Black,65,kids-capsule,Bold red and black V-chevron colorblock hoodie and jogger set. Designed for young ones who wear luxury from the start.,,assets/images/products/kids-001-red-set.jpeg,assets/images/products/kids-red-set-front-model.webp,,assets/images/products/kids-red-set-back-model.webp,2T|3T|4T|5|6|7,Red/Black,150,1,0,"Black rose embroidered logo on the left chest and the left thigh. Right arm features a circular patch logo: white background, black lettering, black rose in center. Patch text: 'Skyy Rose' arched on top, 'Collection' arched on bottom.",kids-red-set,kids-001-red-set.jpeg,,0,0,hoodie,kids-colorblock-hoodie-set-red-black,
kids-002,Kids Colorblock Hoodie Set — Purple/Black,65,kids-capsule,Rich purple and black V-chevron colorblock hoodie and jogger set. Little ones deserve luxury too.,,assets/images/products/kids-002-purple-set.jpeg,assets/images/products/kids-purple-set-front-model.webp,,assets/images/products/kids-purple-set-back-model.webp,2T|3T|4T|5|6|7,Purple/Black,150,1,0,"Black rose embroidered logo on the left chest and the left thigh. Right arm features a circular patch logo: white background, black lettering, black rose in center. Patch text: 'Skyy Rose' arched on top, 'Collection' arched on bottom.",kids-purple-set,kids-002-purple-set.jpeg,,0,0,hoodie,kids-colorblock-hoodie-set-purple-black,
br-014,BLACK is Beautiful Jersey Series: 0. Baseball Classic (Giants),100,black-rose,Special edition Giants colorway with black and orange accents.,Pre-Order,assets/images/products/br-014-baseball-classic-giants.jpeg,assets/images/products/black-is-beautiful-jersey-giants-front-model.webp,,assets/images/products/black-is-beautiful-jersey-giants-back-model.webp,S|M|L|XL|2XL|3XL,Black/Orange,250,1,1,Giants colorway: Black and Orange theme.,black-is-beautiful-jersey-giants,br-014-baseball-classic-giants.jpeg,,0,0,jersey,black-is-beautiful-jersey-series-0-baseball-classic-giants,
br-015,BLACK is Beautiful Jersey Series: 0. Baseball Classic (White),100,black-rose,Special edition White colorway of the Baseball Classic jersey.,Pre-Order,assets/images/products/br-015-baseball-classic-white.jpeg,assets/images/products/black-is-beautiful-jersey-white-front-model.webp,,assets/images/products/black-is-beautiful-jersey-white-back-model.webp,S|M|L|XL|2XL|3XL,White,250,1,1,White colorway with black accents.,black-is-beautiful-jersey-white,br-015-baseball-classic-white.jpeg,,0,0,jersey,black-is-beautiful-jersey-series-0-baseball-classic-white,
